,1,2,3,4,13,33,41,61,73,97,117,127,137,142,143,145,147,148,149,150,161,162,163,164,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,187,188,598,601,602,603,604,605,606,637,646,658,690,694,700,701,702,703,704,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,742,743,800
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25,1079.92,1106.07,38.59,1607.93,2098.25,1896.43,1177.11,929.45,1508.35,2886.05,670.89,1369.12,1371.35,1523.84,1067.11,372.52,645.77,1871.24,536.46,1603.14,1989.31,2107.75,1243.28,2027.37,1611.57,375.09,1256.45,549.8,946.67,1676.54,786.52,412.83,2630.98,1322.14,965.78,1343.84,1348.71,,,,,,,,,,,351.96,353.02,328.51,351.4,344.97,366.59,239.95,275.9,355.4,410.01,,470.29,282.27,324.87,430.29,623.86,346.79,323.79,336.23,370.04,337.67,342.03,321.96,353.79,342.42,333.2,345.13,356.03,359.22,369.19,337.97,337.94,337.16,377.98,372.09,365.88,343.22,339.25,467.79,472.08,337.46,370.4,372.53,337.79,336.87,338.15,368.04,371.99,,,,,277.72
2018-06-26,1079.49,1105.63,38.28,1609.51,2098.02,1885.11,1183.69,932.78,1510.14,2882.53,671.56,1362.21,1372.55,1525.02,1066.86,372.7,647.63,1864.16,538.46,1604.88,1989.65,2108.1,1239.75,2027.68,1610.58,374.84,1256.41,549.67,943.45,1667.32,787.46,413.61,2618.96,1323.91,966.07,1345.54,1347.12,,,,,,,,,,,351.59,352.65,328.18,350.72,344.12,366.08,239.81,275.45,354.34,409.98,,470.25,282.26,324.85,430.45,623.57,346.18,323.3,335.69,369.76,337.16,341.61,321.66,353.19,342.08,333.15,344.9,355.8,359.3,368.8,337.74,337.42,336.39,377.88,371.85,365.51,342.13,338.12,468.06,470.78,336.95,370.03,372.12,337.2,336.39,337.62,367.78,371.73,,,,,277.72
2018-06-27,1081.31,1107.52,36.03,1606.81,2106.73,1878.83,1181.21,924.64,1504.39,2856.08,660.87,1310.31,1372.68,1530.25,1057.6,373.32,648.4,1862.99,534.75,1605.77,1983.87,2102.21,1235.63,2037.9,1600.22,376.46,1251.43,549.32,908.16,1658.65,789.37,414.26,2627.08,1317.62,962.03,1339.82,1348.42,,,,,,,,,,,351.52,352.69,327.97,350.43,343.78,365.82,239.79,275.29,353.98,410.34,,470.73,282.25,324.88,430.87,624.61,345.9,323.13,335.46,369.55,336.93,341.36,321.5,352.71,341.86,333.13,344.72,355.23,359.13,368.57,337.62,337.13,336.01,377.8,371.55,365.28,341.68,337.58,468.8,471.67,336.69,369.81,372.2,336.87,336.07,337.41,367.43,371.71,,,,,277.74
2018-06-28,1074.41,1100.44,36.14,1604.48,2087.3,1873.64,1183.79,923.95,1495.93,2814.73,660.84,1298.29,1362.6,1516.83,1056.36,370.36,644.53,1849.07,534.07,1596.47,1975.74,2093.39,1230.02,2019.07,1601.6,371.65,1246.61,547.63,901.82,1651.68,797.61,410.04,2593.95,1312.17,959.25,1334.3,1338.87,,,,,,,,,,,351.41,352.71,327.7,350.11,343.6,365.36,239.85,275.32,353.71,410.51,,470.95,282.25,324.89,431.12,625.04,345.37,322.51,334.88,369.54,336.49,341.31,321.25,352.75,341.68,333.34,344.72,354.95,359.18,368.54,337.46,336.93,335.27,377.81,371.6,365.18,341.35,337.19,469.27,471.66,336.35,369.82,372.18,336.51,336.09,336.83,367.37,371.78,,,,,277.72
2018-07-01,1078.62,1104.75,36.72,1606.24,2091.01,1867.1,1179.25,923.9,1500.79,2822.6,663.39,1307.2,1366.34,1520.57,1060.27,372.48,647.66,1848.12,534.08,1599.78,1977.87,2095.47,1229.91,2023.74,1606.71,373.33,1249.66,550.67,911.74,1647.7,797.48,412.63,2597.36,1315.66,962.62,1338.03,1344.44,,,,,,,,,,,351.32,352.48,327.8,350.04,343.42,365.4,239.93,275.42,353.66,410.22,,470.56,282.26,324.89,431.0,623.97,345.54,322.69,335.05,369.64,336.53,340.98,321.28,352.75,341.76,333.46,344.85,355.16,359.58,368.59,337.55,336.93,335.23,377.88,371.71,365.35,340.97,336.52,468.78,470.15,336.28,369.79,372.12,336.56,336.0,336.91,367.61,371.81,,,,,277.71
2018-07-02,1073.93,1099.93,36.66,1606.45,2085.13,1831.23,1170.18,913.0,1492.21,2797.25,661.18,1312.44,1361.39,1515.91,1053.35,371.77,645.53,1832.6,528.15,1589.09,1967.6,2084.3,1218.68,2018.58,1593.19,375.09,1242.04,548.08,914.52,1624.65,790.55,412.97,2582.07,1308.04,957.65,1330.0,1340.95,,,,,,,,,,,350.43,351.25,327.4,349.31,342.3,365.07,240.01,275.27,352.62,408.72,,468.58,282.29,324.83,429.53,619.39,345.01,322.52,334.7,368.51,336.23,340.84,321.42,352.16,341.32,333.54,343.93,354.12,358.38,367.41,337.74,336.77,334.38,377.81,370.73,363.67,339.22,334.11,465.53,466.27,336.03,368.81,370.98,336.06,335.61,336.66,366.53,370.68,,,,,277.76
2018-07-03,1080.52,1106.7,36.88,1605.2,2094.97,1840.86,1168.06,908.76,1498.27,2786.55,658.65,1303.03,1368.6,1525.8,1055.87,373.22,643.39,1835.31,526.85,1599.78,1964.71,2081.14,1216.89,2029.41,1599.06,376.37,1243.33,551.14,911.29,1634.53,792.13,415.95,2613.38,1310.82,958.43,1335.45,1350.7,,,,,,,,,,,350.28,351.2,327.13,349.04,342.03,364.79,240.07,275.47,352.75,408.85,,468.73,282.37,324.85,429.71,619.65,344.51,322.45,334.42,368.18,336.01,340.79,321.41,351.63,341.06,333.86,343.69,353.73,358.0,367.14,337.84,336.69,333.82,377.65,370.51,363.19,338.64,332.92,465.85,466.2,335.89,368.52,370.64,335.81,335.42,336.44,366.16,370.42,,,,,277.71
2018-07-04,1078.41,1104.55,36.72,1603.26,2096.22,1833.66,1166.77,908.71,1498.97,2801.8,657.26,1303.2,1366.32,1525.69,1049.28,371.45,642.0,1828.88,525.18,1595.78,1960.83,2077.04,1212.72,2032.11,1593.9,377.0,1238.83,546.08,909.74,1627.4,789.52,413.67,2614.66,1306.63,953.99,1330.92,1346.42,,,,,,,,,,,349.62,350.86,326.09,348.34,341.6,363.8,240.15,275.51,352.55,408.52,,468.28,282.46,324.82,429.3,618.7,343.58,321.57,333.52,366.38,335.12,339.94,321.37,349.54,339.78,333.96,342.18,350.94,354.61,365.78,337.73,335.7,332.09,376.52,368.74,360.98,337.9,331.69,465.33,465.06,335.14,367.04,369.54,334.4,334.16,335.66,363.75,369.24,,,,,277.69
2018-07-05,1073.48,1099.49,35.74,1604.1,2118.56,1831.69,1163.61,903.21,1492.33,2794.19,656.81,1309.62,1363.55,1523.75,1042.47,368.45,633.56,1836.16,521.54,1594.06,1959.18,2075.36,1212.47,2053.65,1586.78,371.94,1230.84,544.09,906.27,1622.89,785.81,411.7,2619.37,1300.6,943.87,1328.05,1335.46,,,,,,,,,,,349.32,350.9,325.37,347.91,341.27,363.24,240.21,275.31,352.35,408.86,,468.73,282.46,324.81,429.73,619.67,342.96,321.28,333.07,365.34,334.68,339.52,321.4,348.5,339.04,334.08,341.33,349.39,353.63,364.76,337.75,335.4,331.12,375.82,367.72,359.78,337.47,331.05,465.99,465.94,334.63,365.98,368.78,333.69,333.43,335.34,362.47,368.49,339.04,,,,277.71
2018-07-08,1076.12,1102.2,36.13,1601.67,2124.86,1843.1,1162.34,903.25,1499.59,2811.18,658.4,1300.06,1370.08,1530.63,1047.13,370.98,635.49,1846.75,522.38,1600.9,1957.28,2073.32,1212.78,2060.59,1589.08,375.24,1234.95,547.43,902.54,1637.03,788.99,416.11,2641.84,1306.18,947.12,1333.13,1342.35,,,,,,,,,,,349.29,350.87,325.34,347.91,341.24,363.28,240.28,275.36,352.18,408.85,,468.65,282.68,324.79,429.62,619.58,342.87,321.35,333.06,365.24,334.65,339.47,321.54,348.65,338.99,334.3,341.26,348.92,352.88,364.88,337.86,335.4,331.0,375.88,367.7,359.51,337.38,331.03,465.9,465.91,334.67,366.08,368.85,333.62,333.37,335.34,362.07,368.66,338.44,,,,277.72
2018-07-09,1078.49,1104.64,35.02,1603.43,2150.31,1845.22,1150.66,905.15,1500.42,2836.98,657.98,1291.09,1372.61,1535.22,1045.79,371.75,634.01,1860.68,522.67,1603.05,1953.26,2069.05,1210.58,2086.28,1585.7,376.64,1233.18,547.42,895.6,1638.38,783.86,416.57,2644.71,1305.22,945.42,1330.75,1338.07,,,,,,,,,,,350.12,351.85,325.92,348.76,342.32,363.89,240.28,275.53,353.47,409.88,,470.06,282.51,324.81,430.65,622.87,343.69,321.83,333.72,366.31,335.24,339.91,321.92,349.48,339.67,334.43,342.16,350.25,354.69,365.74,338.11,335.89,331.96,376.45,368.93,360.7,339.04,333.04,467.96,469.31,335.29,367.04,369.67,334.29,333.86,335.97,363.28,369.62,338.2,,,,277.72
2018-07-10,1084.02,1110.33,35.5,1601.43,2159.12,1865.92,1141.9,909.16,1502.5,2830.3,657.62,1289.26,1380.66,1544.26,1051.36,374.28,633.13,1872.61,523.89,1613.69,1946.65,2061.88,1204.44,2096.9,1589.71,381.04,1235.48,550.95,898.04,1651.58,780.93,421.0,2656.35,1311.58,947.02,1337.98,1342.72,,,,,,,,,,,351.03,352.82,326.7,349.54,343.29,364.51,240.11,275.54,354.32,410.99,,471.52,282.5,324.89,431.43,626.47,344.35,322.32,334.3,367.7,335.85,340.58,322.04,350.22,340.6,334.68,343.35,351.89,356.48,367.04,338.23,336.55,333.06,377.37,370.33,362.33,340.64,335.33,470.06,473.34,335.85,368.32,370.89,335.19,334.68,336.49,364.93,370.74,340.07,,,,277.75
2018-07-11,1078.51,1104.66,35.3,1605.06,2139.99,1866.0,1142.16,905.89,1500.37,2827.74,657.43,1282.38,1376.86,1540.2,1048.51,372.74,629.82,1862.86,522.85,1605.2,1938.64,2053.02,1194.63,2077.8,1583.55,379.0,1230.72,549.59,891.44,1650.52,779.46,420.75,2644.6,1308.3,943.58,1333.64,1334.99,,,,,,,,,,,351.34,353.09,327.05,349.91,343.67,364.86,240.11,275.67,354.49,411.21,,471.81,282.5,324.93,431.54,627.21,344.65,322.6,334.58,368.23,336.15,340.91,322.04,350.46,340.97,334.85,343.8,352.32,357.0,367.56,338.23,336.87,333.67,377.66,370.89,362.92,341.19,336.22,470.38,474.42,336.2,368.9,371.41,335.58,335.07,336.74,365.4,371.29,340.73,,,,277.76
2018-07-12,1084.28,1110.59,35.64,1605.05,2141.67,1886.15,1146.72,911.98,1506.57,2851.27,660.06,1291.26,1385.04,1549.7,1053.61,375.31,632.0,1872.08,525.83,1612.67,1939.65,2054.09,1193.89,2079.38,1592.45,383.81,1236.46,551.08,896.18,1666.95,787.39,425.14,2657.95,1317.14,947.39,1340.54,1338.68,,,,,,,,,,,351.39,353.04,327.21,349.85,343.5,364.93,239.89,275.54,354.01,411.26,,471.88,282.46,324.95,431.49,627.47,344.8,322.63,334.67,368.55,336.22,340.93,322.0,350.72,341.16,334.82,344.07,352.81,357.97,367.68,338.21,336.99,333.8,377.86,371.27,363.28,341.03,336.34,470.51,474.73,336.31,369.05,371.33,335.71,335.15,336.79,365.98,371.39,341.47,,,,277.76
2018-07-15,1082.71,1108.99,35.47,1600.77,2131.42,1896.5,1157.5,913.34,1512.08,2872.51,662.2,1299.78,1385.52,1548.64,1056.57,374.96,630.08,1873.54,526.68,1624.41,1939.57,2054.16,1198.82,2067.96,1597.61,382.31,1239.22,551.53,901.78,1675.84,794.61,424.11,2657.2,1320.61,948.11,1346.04,1340.58,,,,,,,,,,,351.75,353.46,327.48,350.3,344.22,365.1,239.95,275.82,354.92,411.47,,472.14,282.54,324.96,431.68,628.06,344.99,322.78,334.84,369.06,336.4,341.13,322.06,351.17,341.48,334.87,344.52,353.56,359.05,368.03,338.24,337.16,334.12,378.14,371.73,363.95,342.04,337.45,470.8,475.52,336.56,369.33,371.67,335.99,335.4,336.94,366.67,371.77,341.58,,,,277.75
2018-07-16,1079.75,1105.94,34.34,1605.78,2122.88,1908.76,1159.08,914.79,1509.06,2881.09,663.62,1297.7,1382.95,1545.28,1056.09,374.07,629.87,1876.02,527.39,1624.9,1935.83,2050.07,1197.83,2059.18,1602.27,382.58,1239.65,549.61,900.22,1685.82,791.58,422.76,2662.39,1320.67,948.43,1345.62,1335.56,,,,,,,,,,,351.74,353.35,327.61,350.78,344.7,365.6,240.24,276.09,354.88,410.87,,471.36,282.52,325.0,431.21,626.09,345.55,323.17,335.32,368.54,336.86,341.55,322.53,351.53,341.52,335.04,344.12,353.2,358.07,367.65,338.75,337.5,334.6,378.02,371.38,363.16,342.58,338.51,469.5,473.64,336.99,368.93,371.35,336.48,335.84,337.41,366.11,371.3,340.88,,,,277.75
2018-07-17,1079.65,1105.85,34.14,1603.22,2128.86,1903.86,1148.2,914.51,1511.08,2894.03,660.43,1273.87,1383.11,1546.46,1054.29,374.19,628.06,1877.04,526.74,1622.47,1930.95,2044.88,1193.84,2064.41,1596.51,384.84,1236.57,547.92,885.11,1683.18,788.41,424.42,2660.78,1318.28,945.82,1340.68,1333.33,,,,,,,,,,,352.11,353.62,328.06,351.45,344.98,366.7,240.3,276.29,355.2,411.19,,471.79,282.48,324.94,431.61,627.06,345.92,323.52,335.69,368.38,337.19,341.77,322.69,351.62,341.59,335.03,344.01,352.83,357.45,367.65,338.89,337.82,335.11,377.87,371.26,363.01,342.9,338.83,470.31,474.18,337.35,368.81,371.39,336.87,336.08,337.77,365.79,371.39,340.0,,,,277.73
2018-07-18,1080.59,1106.81,34.43,1601.45,2128.72,1898.38,1146.94,909.3,1506.07,2863.27,660.67,1266.84,1384.84,1548.48,1054.72,374.5,625.22,1873.47,525.12,1628.03,1927.19,2040.83,1194.2,2065.54,1595.2,384.7,1234.96,549.43,882.75,1678.34,786.02,424.88,2658.92,1316.98,944.02,1341.91,1335.79,,,,,,,,,,,352.59,353.69,329.05,352.37,345.17,368.4,240.4,276.44,355.39,411.16,,471.75,282.5,324.98,431.51,626.99,346.42,323.96,336.16,368.64,337.66,342.25,323.04,352.09,341.95,334.72,344.18,353.08,357.77,367.91,339.22,338.33,335.72,378.09,371.52,363.29,343.11,339.06,470.14,474.41,337.78,369.06,371.61,337.43,336.63,338.22,366.1,371.61,341.23,,,,277.74
2018-07-19,1076.93,1103.05,34.1,1599.76,2132.57,1902.84,1144.0,903.23,1507.46,2866.16,657.88,1268.53,1382.2,1544.13,1054.82,374.65,623.27,1876.26,523.05,1624.4,1924.19,2037.65,1192.04,2069.69,1592.88,385.22,1233.22,550.15,881.7,1681.87,784.93,425.81,2645.89,1315.72,942.49,1341.94,1339.14,,,,,,,,,,,352.31,353.28,328.98,352.18,344.8,368.39,240.58,276.58,354.77,410.65,,471.07,282.51,324.98,430.98,625.45,346.35,324.0,336.14,368.16,337.64,342.25,322.97,351.81,341.82,334.87,343.81,352.16,356.51,367.71,339.14,338.42,335.74,378.0,370.99,362.69,342.39,338.23,469.13,472.93,337.75,368.82,371.42,337.41,336.58,338.25,365.36,371.42,342.51,,,,277.76
2018-07-23,1077.15,1103.29,34.15,1598.79,2132.03,1893.54,1142.42,903.32,1504.2,2861.72,655.82,1265.75,1382.53,1545.52,1052.07,374.59,622.26,1871.98,522.58,1627.78,1920.8,2033.98,1192.63,2068.74,1589.0,384.41,1231.8,550.65,878.53,1672.67,787.14,425.46,2652.79,1314.13,940.68,1341.08,1343.39,,,,,,,,,,,351.75,352.79,328.36,351.74,344.4,367.9,240.48,276.11,354.61,410.03,,470.25,282.49,324.88,430.42,623.62,345.8,323.67,335.7,367.03,337.19,341.76,322.76,351.02,341.12,334.81,342.84,350.64,354.12,366.88,338.99,337.97,335.03,377.2,369.86,361.34,342.03,337.7,467.97,471.08,337.3,368.19,370.65,336.8,336.05,337.81,363.85,370.68,342.25,,,,277.76
2018-07-24,1086.22,1112.63,34.46,1591.33,2155.65,1917.82,1148.08,908.72,1512.96,2889.81,663.31,1270.33,1395.38,1560.42,1059.56,377.64,623.9,1891.0,525.36,1644.17,1925.29,2039.09,1198.9,2091.96,1597.68,387.85,1238.79,555.51,881.29,1689.28,794.68,429.87,2673.77,1323.42,944.93,1351.56,1354.98,,,,,,,,,,,351.61,352.87,327.92,351.71,344.63,367.6,240.46,276.15,354.83,410.0,,470.24,282.45,324.92,430.44,623.48,345.52,323.44,335.45,366.04,336.9,341.38,322.81,350.44,340.55,334.55,341.97,349.34,352.38,366.03,339.05,337.76,334.27,376.68,369.09,359.95,342.39,338.18,467.77,471.2,337.11,367.58,369.99,336.28,335.57,337.59,362.54,369.98,342.19,,,,277.77
2018-07-25,1090.86,1117.4,34.25,1593.2,2179.32,1945.13,1144.93,915.64,1521.73,2910.8,665.62,1285.97,1401.95,1569.32,1061.75,376.4,624.41,1912.02,527.92,1652.87,1926.97,2040.87,1202.09,2116.11,1601.31,385.75,1241.06,553.95,890.52,1708.63,789.55,427.22,2695.18,1326.84,945.99,1357.9,1353.85,,,,,,,,,,,351.59,353.31,327.31,351.75,345.22,367.05,240.56,276.42,355.57,410.39,,470.73,282.49,325.0,430.88,624.47,345.33,322.99,335.13,365.29,336.47,340.66,322.8,349.13,339.83,334.58,341.33,347.77,350.79,365.64,338.94,337.24,333.44,376.05,368.22,359.15,343.17,339.01,468.42,472.12,336.79,367.12,369.99,335.44,334.61,337.32,361.23,369.79,340.74,,,,277.75
2018-07-26,1096.03,1122.72,34.31,1593.43,2208.65,1970.44,1142.15,916.78,1525.62,2922.57,664.1,1293.3,1407.46,1577.7,1061.2,376.79,628.09,1935.67,527.68,1669.3,1929.52,2043.64,1201.83,2145.29,1601.87,384.82,1242.51,555.54,895.07,1723.96,788.75,426.54,2704.86,1328.8,947.3,1362.96,1354.39,,,,,,,,,,,351.85,353.49,327.65,351.99,345.4,367.36,240.4,276.21,355.78,410.6,,471.0,282.53,325.03,431.14,625.0,345.76,323.34,335.52,366.04,336.85,340.98,322.84,349.6,340.28,334.56,341.96,348.74,352.79,366.1,339.02,337.46,334.18,376.53,369.1,359.96,343.62,339.67,468.94,472.26,337.18,367.51,370.43,335.97,335.0,337.69,362.23,370.28,340.65,,,,277.75
2018-07-29,1091.18,1117.72,34.49,1593.21,2211.26,1974.87,1136.15,915.14,1528.39,2937.58,661.4,1288.86,1402.53,1573.07,1056.3,374.5,627.63,1938.69,525.95,1664.89,1927.57,2041.51,1202.92,2147.83,1596.75,381.18,1238.72,552.77,891.67,1728.45,779.93,421.93,2691.35,1323.09,944.1,1358.61,1350.48,,,,,,,,,,,351.78,353.4,327.62,351.94,345.25,367.43,240.4,276.06,355.7,410.54,,470.93,282.53,324.99,431.12,624.85,345.83,323.42,335.59,365.73,336.91,341.02,322.87,349.51,340.2,334.66,341.71,347.81,351.19,366.19,338.98,337.46,334.38,376.62,368.81,359.42,343.46,339.44,468.84,472.15,337.25,367.56,370.78,336.04,334.99,337.79,361.41,370.5,340.89,,,,277.76
2018-07-30,1096.17,1122.85,34.13,1592.33,2222.49,1978.23,1132.53,916.29,1533.35,2946.03,661.89,1289.23,1407.03,1579.32,1057.34,375.45,625.94,1944.84,525.77,1670.8,1926.56,2040.48,1206.56,2159.49,1601.51,381.49,1239.76,554.65,888.77,1734.78,783.81,422.85,2697.03,1325.29,943.25,1362.17,1356.2,,,,,,,,,,,351.64,353.25,327.49,351.79,345.05,367.33,240.32,275.93,355.28,410.4,,470.76,282.47,325.0,431.05,624.37,345.77,323.27,335.49,365.43,336.83,340.98,322.75,349.43,340.06,334.61,341.45,347.52,350.93,365.96,338.91,337.31,334.31,376.5,368.62,358.97,343.23,339.39,468.55,471.65,337.11,367.16,370.37,336.01,334.86,337.7,361.1,370.22,341.61,,,,277.76
2018-07-31,1097.08,1123.8,34.03,1590.84,2204.43,1982.86,1140.03,914.99,1526.73,2923.63,665.1,1286.73,1407.97,1579.49,1060.5,373.74,618.55,1941.44,526.92,1672.42,1920.24,2033.58,1207.09,2141.72,1605.2,378.94,1239.49,552.79,889.51,1738.51,790.31,422.77,2689.13,1326.87,941.17,1362.61,1359.32,,,,,,,,,,,351.73,353.18,327.81,351.87,345.04,367.5,240.36,275.98,355.24,410.27,,470.58,282.44,325.0,430.92,623.98,345.81,323.32,335.53,366.19,336.92,341.23,322.71,350.02,340.48,334.59,342.1,348.83,353.37,366.32,338.95,337.38,334.56,376.93,369.5,359.84,343.18,339.31,468.39,471.06,337.23,367.39,370.5,336.2,335.25,337.71,362.36,370.53,342.33,,,,277.75
2018-08-01,1098.83,1125.59,33.73,1592.52,2167.99,1951.99,1127.54,911.25,1571.63,3039.99,673.49,1273.51,1413.49,1587.03,1059.76,373.79,614.46,1911.29,525.68,1666.02,1912.49,2025.15,1204.5,2107.18,1598.32,378.32,1237.86,553.37,885.31,1721.23,783.22,423.46,2700.9,1326.33,938.98,1361.42,1366.46,,,,,,,,,,,351.59,352.82,327.96,351.63,344.61,367.45,240.34,276.0,354.97,409.92,,470.13,282.43,325.01,430.9,622.59,345.7,323.34,335.48,366.48,336.87,341.16,322.73,349.95,340.64,334.73,342.33,349.09,353.63,366.56,338.92,337.52,334.33,377.16,369.81,360.12,342.48,338.22,467.76,469.15,337.22,367.61,370.65,336.1,335.13,337.66,362.63,370.76,343.9,,,,277.75
2018-08-02,1087.74,1114.2,33.46,1592.51,2180.73,1932.09,1127.54,913.37,1586.92,3133.96,681.5,1280.48,1407.36,1578.0,1057.89,369.59,607.86,1908.34,525.54,1661.45,1901.6,2013.4,1195.86,2119.92,1594.52,369.5,1232.42,552.32,887.54,1705.25,787.69,419.27,2673.85,1323.58,933.45,1359.91,1355.02,,,,,,,,,,,351.86,353.04,328.27,351.95,344.91,367.81,240.42,276.07,355.29,410.11,,470.37,282.47,325.06,430.96,623.23,346.0,323.71,335.82,366.78,337.19,341.42,322.87,350.65,340.99,334.69,342.59,349.59,354.17,366.82,339.05,337.93,334.78,377.26,370.23,360.44,342.9,338.75,468.12,469.9,337.53,367.9,370.75,336.54,335.69,337.89,363.06,370.97,344.83,,,,277.74
2018-08-05,1103.46,1130.35,34.2,1594.58,2218.78,1957.58,1143.78,926.13,1610.14,3146.64,684.56,1287.67,1429.22,1604.7,1069.85,374.79,615.38,1938.32,532.23,1681.87,1918.71,2031.81,1204.39,2155.84,1612.5,372.48,1247.19,561.5,894.48,1725.72,798.94,425.39,2717.44,1340.43,945.29,1378.83,1373.4,,,,,,,,,,,352.66,353.88,328.98,352.82,345.9,368.55,240.48,276.4,356.33,410.93,,471.46,282.45,325.06,431.42,626.11,346.88,324.27,336.54,367.72,337.87,342.0,323.15,351.55,341.74,334.76,343.39,350.65,355.22,367.74,339.28,338.46,335.97,377.61,371.02,361.76,344.31,340.51,469.37,473.9,338.07,368.81,371.55,337.41,336.35,338.57,364.15,371.72,345.7,,,,277.75
2018-08-06,1104.85,1131.78,34.67,1593.89,2224.14,1978.29,1140.65,928.04,1611.79,3159.8,683.21,1292.57,1429.49,1604.92,1069.59,375.17,615.74,1947.74,532.39,1686.88,1918.25,2031.25,1204.03,2160.2,1613.01,370.73,1247.37,564.95,894.8,1739.13,797.53,426.04,2713.14,1341.53,945.09,1382.91,1373.04,,,,,,,,,,,352.69,353.86,329.06,352.81,345.76,368.68,240.52,276.46,356.0,411.02,,471.57,282.45,325.09,431.53,626.32,347.14,324.39,336.73,367.63,338.0,341.95,323.34,351.53,341.8,334.82,343.32,350.41,354.84,367.71,339.28,338.54,336.17,377.67,370.83,361.67,344.03,340.28,469.62,473.88,338.17,368.72,371.62,337.43,336.29,338.75,363.97,371.72,346.33,,,,277.79
2018-08-07,1108.47,1135.5,34.38,1594.67,2227.21,2019.12,1144.5,930.32,1622.33,3154.62,680.22,1288.61,1431.21,1606.96,1071.71,373.94,617.48,1963.05,533.08,1699.11,1920.45,2033.66,1203.98,2162.74,1617.72,366.24,1248.78,566.28,894.41,1768.78,796.54,423.55,2727.02,1343.43,946.53,1389.73,1369.76,,,,,,,,,,,352.99,354.13,329.38,353.09,345.97,369.05,240.56,276.6,356.2,411.38,,472.05,282.45,325.09,431.84,627.46,347.4,324.57,336.96,368.03,338.26,342.32,323.39,352.49,342.16,334.88,343.67,351.03,355.29,368.13,339.38,338.8,336.66,378.14,371.17,362.11,344.28,340.56,470.22,475.26,338.35,369.04,372.02,337.96,336.68,338.97,364.39,372.16,345.71,,,,277.79
2018-08-08,1105.13,1132.07,33.89,1596.7,2178.96,2041.49,1146.6,931.44,1634.34,3160.89,683.27,1293.82,1427.0,1598.21,1076.53,373.78,617.56,1953.06,534.11,1707.12,1923.76,2037.26,1205.9,2117.87,1618.18,364.26,1250.14,566.75,898.59,1784.31,803.7,421.82,2718.49,1345.82,947.72,1393.05,1368.07,,,,,,,,,,,353.39,354.48,329.82,353.39,346.18,369.46,240.58,276.73,356.47,411.88,,472.69,282.51,325.11,432.35,628.92,347.8,324.84,337.29,368.75,338.6,342.65,323.49,353.19,342.67,334.97,344.31,352.26,356.73,368.65,339.49,339.09,337.24,378.63,371.95,362.96,344.53,340.79,471.12,476.75,338.66,369.56,372.54,338.4,337.14,339.27,365.35,372.68,345.49,,,,277.74
