,NVDA,MRNA,BYND,TSLA,TEVA,SNOW,ABNB,BABA,1090943,1106376,168013
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice
2017-09-01,42.14423751831055,,,23.69333267211914,15.801350593566895,,,171.0399932861328,,,
2017-09-03,,,,,,,,,1487.0,42.7,32880.0
2017-09-04,,,,,,,,,1499.0,42.7,32420.0
2017-09-05,41.01930236816406,,,23.305999755859375,15.314390182495117,,,169.9199981689453,1506.0,42.7,32360.0
2017-09-06,40.994564056396484,,,22.968666076660156,15.42370891571045,,,168.13999938964844,1506.0,42.7,31620.0
2017-09-07,41.18494415283203,,,23.374000549316406,15.374018669128418,,,170.47999572753906,1436.0,42.7,32000.0
2017-09-08,40.47043228149414,,,22.893333435058594,15.40383243560791,,,169.0,,,
2017-09-10,,,,,,,,,1476.0,42.7,30080.0
2017-09-11,41.783267974853516,,,24.246000289916992,18.38521957397461,,,174.05999755859375,1480.0,39.7,30520.0
2017-09-12,41.93408203125,,,24.183332443237305,19.21006965637207,,,175.30999755859375,1489.0,39.7,31480.0
2017-09-13,42.121986389160156,,,24.415332794189453,18.74298667907715,,,178.97000122070312,1502.0,39.7,32080.0
2017-09-14,41.882164001464844,,,25.176000595092773,18.2460880279541,,,177.10000610351562,1494.0,39.7,31820.0
2017-09-15,44.53007507324219,,,25.320667266845703,17.987701416015625,,,176.6999969482422,,,
2017-09-17,,,,,,,,,1509.0,39.7,32330.0
2017-09-18,46.369537353515625,,,25.666667938232422,16.88458824157715,,,179.97999572753906,1528.0,38.2,33460.0
2017-09-19,46.320098876953125,,,25.00666618347168,17.08334732055664,,,180.07000732421875,1483.0,39.6,34490.0
2017-09-20,45.94676208496094,,,24.92733383178711,17.003843307495117,,,177.9499969482422,,,
2017-09-21,44.6907844543457,,,24.43199920654297,17.043594360351562,,,177.38999938964844,,,
2017-09-22,44.255653381347656,,,23.4060001373291,17.08334732055664,,,178.13999938964844,,,
2017-09-24,,,,,,,,,1498.0,39.6,34870.0
2017-09-25,42.277740478515625,,,22.999332427978516,17.0634708404541,,,169.58999633789062,1510.0,37.5,35090.0
2017-09-26,42.51508712768555,,,23.016666412353516,17.152912139892578,,,167.02000427246094,1520.0,37.5,34600.0
2017-09-27,43.44717788696289,,,22.731332778930664,17.510679244995117,,,170.99000549316406,1511.0,37.5,34160.0
2017-09-28,43.4348030090332,,,22.639999389648438,17.05353355407715,,,170.24000549316406,1514.0,40.1,33990.0
2017-09-29,44.198787689208984,,,22.739999771118164,17.490802764892578,,,172.7100067138672,,,
2017-10-01,,,,,,,,,1523.0,40.1,34590.0
2017-10-02,44.255653381347656,,,22.768667221069336,18.355403900146484,,,173.61000061035156,1527.0,40.1,34410.0
2017-10-03,44.34712219238281,,,23.209333419799805,18.70323371887207,,,178.55999755859375,1529.0,40.1,34740.0
2017-10-04,44.71798324584961,,,23.667333602905273,15.980234146118164,,,178.7100067138672,,,
