Symbol,sector,description,total_return,total_volatility,total_sharpe,annual_return,annual_volatility,annual_sharpe,monthly_return,monthly_volatility,monthly_sharpe,forecast_return,forecast_volatility,forecast_sharpe
1143742,Israel stocks,תכ.HANGSENGCHממ,,,,,,,,,,,,
1143767,Israel stocks,תכ.EUSTOXX50ממ,,,,,,,,,,,,
1143775,Israel stocks,תכ.משממשלתיתא35,,,,,,,,,,,,
1143783,Israel stocks,תכ.תא90,,,,,,,,,,,,
1143791,Israel stocks,תכ.תלבונד20,,,,,,,,,,,,
1143817,Israel stocks,תכ.SP500ממ,,,,,,,,,,,,
1143825,Israel stocks,תכ.DAXממ,,,,,,,,,,,,
1143833,Israel stocks,תכ.STOXX600מא,,,,,,,,,,,,
1143841,Israel stocks,תכ.SPFINANCE,,,,,,,,,,,,
1143858,Israel stocks,תכ.SPINDUSTממ,,,,,,,,,,,,
