,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2018-06-20,352.09,353.24,470.71,282.23,324.85,1537.01,1085.1,253.6206817626953,171.3924102783203,1706.989990234375,110.68663024902344,97.04740142822266,17.030000686645508,120.26000213623047,19.772499084472656
2018-06-21,352.22,353.3,470.69,282.22,324.85,1528.47,1075.88,252.03077697753906,169.90328979492188,1688.949951171875,110.83477020263672,96.97073364257812,16.969999313354492,120.05000305175781,19.772499084472656
2018-06-22,,,,,,,,252.49021911621094,169.5261993408203,1685.5799560546875,110.871826171875,97.0899658203125,17.399999618530273,120.33999633789062,19.772499084472656
2018-06-24,352.2,353.18,470.38,282.3,324.87,1536.55,1080.15,,,,,,,,
2018-06-25,351.96,353.02,470.29,282.27,324.87,1523.84,1067.11,249.05313110351562,165.70672607421875,1657.510009765625,110.9737319946289,96.99629211425781,17.139999389648438,119.88999938964844,20.204999923706055
2018-06-26,351.59,352.65,470.25,282.26,324.85,1525.02,1066.86,249.60462951660156,166.38356018066406,1668.530029296875,111.0107421875,97.31993103027344,17.399999618530273,119.26000213623047,20.6200008392334
2018-06-27,351.52,352.69,470.73,282.25,324.88,1530.25,1057.6,247.5367431640625,164.12091064453125,1640.449951171875,111.25151062011719,97.65206146240234,17.6299991607666,118.58000183105469,20.6200008392334
2018-06-28,351.41,352.71,470.95,282.25,324.89,1516.83,1056.36,248.95216369628906,165.53268432617188,1645.02001953125,111.15892028808594,97.5243148803711,17.670000076293945,118.22000122070312,20.6200008392334
2018-06-29,,,,,,,,249.3105010986328,165.97744750976562,1643.0699462890625,111.13114166259766,97.5754165649414,17.90999984741211,118.6500015258789,21.6200008392334
2018-07-01,351.32,352.48,470.56,282.26,324.89,1520.57,1060.27,,,,,,,,
2018-07-02,350.43,351.25,468.58,282.29,324.83,1515.91,1053.35,249.8434600830078,167.08946228027344,1655.0899658203125,111.0318832397461,97.58822631835938,17.65999984741211,117.45999908447266,20.969999313354492
2018-07-03,350.28,351.2,468.73,282.37,324.85,1525.8,1055.87,248.96121215820312,165.1555633544922,1660.4200439453125,111.18956756591797,97.9469985961914,17.65999984741211,118.6500015258789,20.969999313354492
2018-07-04,349.62,350.86,468.28,282.46,324.82,1525.69,1049.28,,,,,,,,
2018-07-05,349.32,350.9,468.73,282.46,324.81,1523.75,1042.47,250.9922637939453,167.2054901123047,1679.47998046875,111.1617431640625,98.25452423095703,17.6299991607666,119.05000305175781,20.920000076293945
2018-07-06,,,,,,,,253.11524963378906,169.80661010742188,1694.050048828125,111.2545166015625,98.39122009277344,17.68000030517578,118.86000061035156,20.961999893188477
2018-07-08,349.29,350.87,468.65,282.68,324.79,1530.63,1047.13,,,,,,,,
2018-07-09,350.12,351.85,470.06,282.51,324.81,1535.22,1045.79,255.3943328857422,171.33438110351562,1704.5999755859375,111.1060791015625,98.45956420898438,17.760000228881836,119.1500015258789,21.399999618530273
2018-07-10,351.03,352.82,471.52,282.5,324.89,1544.26,1051.36,256.3133239746094,171.4600830078125,1695.6199951171875,111.02261352539062,98.34851837158203,17.75,118.93000030517578,21.399999618530273
2018-07-11,351.34,353.09,471.81,282.5,324.93,1540.2,1048.51,254.4386444091797,170.58984375,1683.6600341796875,111.15248107910156,98.54499816894531,17.030000686645508,117.63999938964844,21.399999618530273
