,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2021-08-04,396.72,446.95,239.92,151.4327850341797,105.7545394897461,519.41,735.37,362.7243347167969,127.85861206054688,127.483642578125,169.52999877929688,952.01,1965.07,368.76,328.94,372.55,645.75,20.350000381469727,283.84
2021-08-05,396.48,447.08,239.98,152.26785278320312,105.7545394897461,519.59,735.89,365.02508544921875,127.57742309570312,126.95997619628906,168.86000061035156,949.44,1960.18,368.69,328.92,372.45,645.91,20.739999771118164,283.83
2021-08-06,,,,152.14013671875,105.76409149169922,,,363.4253845214844,127.24762725830078,125.92202758789062,164.63999938964844,,,,,,,20.6200008392334,
2021-08-08,395.76,446.33,239.98,,,518.55,733.18,,,,,940.96,1952.59,368.56,328.87,372.31,639.19,,284.01
2021-08-09,395.4,446.33,239.98,151.64891052246094,105.7545394897461,518.57,733.24,364.0968322753906,127.1022720336914,125.37967681884766,161.72000122070312,917.09,1936.95,368.27,328.92,372.18,624.07,20.100000381469727,283.91
2021-08-10,395.52,445.66,239.9,150.5583953857422,105.7545394897461,517.69,730.58,362.2305908203125,126.9471206665039,125.09913635253906,161.77000427246094,933.29,1951.62,368.13,328.93,371.98,634.19,20.65999984741211,283.88
2021-08-11,395.45,445.15,239.86,150.5780487060547,105.74496459960938,517.02,728.37,361.6085205078125,127.05379486083984,125.2955093383789,164.0,928.32,1946.72,367.98,328.94,371.8,631.26,20.850000381469727,283.87
2021-08-12,395.15,445.09,239.88,151.4425811767578,105.74496459960938,516.91,728.14,362.9118957519531,126.95684051513672,125.47319793701172,164.0399932861328,936.64,1967.84,368.04,328.96,371.77,637.95,20.760000228881836,283.98
2021-08-13,,,,152.26785278320312,105.74496459960938,,,364.18572998046875,127.21862030029297,126.31475067138672,166.38999938964844,,,,,,,20.440000534057617,
2021-08-15,396.09,445.47,239.96,,,517.45,729.64,,,,,941.03,1966.08,368.59,328.97,372.2,642.88,,283.84
2021-08-16,396.89,445.55,240.22,152.95555114746094,105.74496459960938,517.54,729.76,364.34375,127.39313507080078,126.38958740234375,167.22000122070312,918.27,1944.55,369.09,329.0,372.82,627.57,20.290000915527344,283.87
